i,t,min_geo_dist,max_geo_dist,mean_geo_dist,min_sorensen,mean_sorensen,max_sorensen,min_braycurtis,mean_braycurtis,max_braycurtis,min_canberra,mean_canberra,max_canberra,min_geo_dist_nn,max_geo_dist_nn,mean_geo_dist_nn,min_sorensen_nn,mean_sorensen_nn,max_sorensen_nn,min_braycurtis_nn,mean_braycurtis_nn,max_braycurtis_nn,min_canberra_nn,mean_canberra_nn,max_canberra_nn,min_geo_dist_fn,max_geo_dist_fn,mean_geo_dist_fn,min_sorensen_fn,mean_sorensen_fn,max_sorensen_fn,min_braycurtis_fn,mean_braycurtis_fn,max_braycurtis_fn,min_canberra_fn,mean_canberra_fn,max_canberra_fn
99,0,85.69197634210559,19943.73882296398,9807.54578143021,0.013071895424836555,0.09905423459356193,0.22549019607843135,0.005577420586292403,0.06116319373064179,0.24398546479486727,0.772135631955433,0.8187364379316544,0.8593034248367435,85.69197634210559,85.69197634210559,85.69197634210559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1,87.26675372014333,19944.267309524672,9825.680906251147,0.013071895424836555,0.09896822542331489,0.22549019607843135,0.005577420586292403,0.061082446633697524,0.24398546479486727,0.772135631955433,0.8188588350914683,0.8593034248367435,87.26675372014333,87.26675372014333,87.26675372014333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2,86.49348911475288,19996.528302782997,9820.639597961395,0.013071895424836555,0.09896822542331489,0.22549019607843135,0.005577420586292403,0.061082446633697524,0.24398546479486727,0.772135631955433,0.8188588350914683,0.8593034248367435,86.49348911475288,86.49348911475288,86.49348911475288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,3,86.49552126087742,19925.864832583295,9815.24836244292,0.013071895424836555,0.09896822542331489,0.22549019607843135,0.005577420586292403,0.061082446633697524,0.24398546479486727,0.772135631955433,0.8188588350914683,0.8593034248367435,86.49552126087742,86.49552126087742,86.49552126087742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,4,87.27295088336766,19820.35765890506,9809.513475141886,0.013071895424836555,0.09896822542331489,0.22549019607843135,0.005577420586292403,0.061082446633697524,0.24398546479486727,0.772135631955433,0.8188588350914683,0.8593034248367435,87.27295088336766,87.27295088336766,87.27295088336766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,5,87.27449893235101,19713.292980840168,9803.489669845769,0.013071895424836555,0.09896822542331489,0.22549019607843135,0.005577420586292403,0.061082446633697524,0.24398546479486727,0.772135631955433,0.8188588350914683,0.8593034248367435,87.27449893235101,87.27449893235101,87.27449893235101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,6,85.70346018697201,19663.15253419147,9797.27786791437,0.013071895424836555,0.09896822542331489,0.22549019607843135,0.005577420586292403,0.061082446633697524,0.24398546479486727,0.772135631955433,0.8188588350914683,0.8593034248367435,85.70346018697201,85.70346018697201,85.70346018697201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,7,85.70452296730971,19624.67112906422,9790.764984566762,0.013071895424836555,0.09896822542331489,0.22549019607843135,0.005577420586292403,0.061082446633697524,0.24398546479486727,0.772135631955433,0.8188588350914683,0.8593034248367435,85.70452296730971,85.70452296730971,85.70452296730971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,8,87.27782792958881,19584.378056783098,9783.944416011906,0.013071895424836555,0.09896822542331489,0.22549019607843135,0.005577420586292403,0.061082446633697524,0.24398546479486727,0.772135631955433,0.8188588350914683,0.8593034248367435,87.27782792958881,87.27782792958881,87.27782792958881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,9,86.50294875572443,19665.165406622044,9776.833531355229,0.013071895424836555,0.09896822542331489,0.22549019607843135,0.005577420586292403,0.061082446633697524,0.24398546479486727,0.772135631955433,0.8188588350914683,0.8593034248367435,86.50294875572443,86.50294875572443,86.50294875572443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,10,86.50333039768104,19730.942419186493,9769.426862212664,0.013071895424836555,0.09896822542331489,0.22549019607843135,0.005577420586292403,0.061082446633697524,0.24398546479486727,0.772135631955433,0.8188588350914683,0.8593034248367435,86.50333039768104,86.50333039768104,86.50333039768104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,11,87.27899312720794,19796.014562702807,9786.044377448543,0.013071895424836555,0.09938411129054717,0.22549019607843135,0.005577420586292403,0.061298245415193554,0.24398546479486727,0.772135631955433,0.8178631957188046,0.8593034248367435,87.27899312720794,87.27899312720794,87.27899312720794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,12,87.27886997504946,19884.825841336806,9779.868051119453,0.013071895424836555,0.09938411129054717,0.22549019607843135,0.005577420586292403,0.061298245415193554,0.24398546479486727,0.772135631955433,0.8178631957188046,0.8593034248367435,87.27886997504946,87.27886997504946,87.27886997504946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,13,86.50294875572443,19974.37501722972,9773.224353274863,0.013071895424836555,0.09938411129054717,0.22549019607843135,0.005577420586292403,0.061298245415193554,0.24398546479486727,0.772135631955433,0.8178631957188046,0.8593034248367435,86.50294875572443,86.50294875572443,86.50294875572443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,14,86.50227969392802,19959.459392528654,9766.250608395267,0.013071895424836555,0.09938411129054717,0.22549019607843135,0.005577420586292403,0.061298245415193554,0.24398546479486727,0.772135631955433,0.8178631957188046,0.8593034248367435,86.50227969392802,86.50227969392802,86.50227969392802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,15,87.2768332686267,19869.01202086448,9758.954385668532,0.013071895424836555,0.09938411129054717,0.22549019607843135,0.005577420586292403,0.061298245415193554,0.24398546479486727,0.772135631955433,0.8178631957188046,0.8593034248367435,87.2768332686267,87.2768332686267,87.2768332686267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,16,86.50004249233267,19885.68899710791,9726.956743222641,0.013071895424836555,0.09938594672234229,0.22549019607843135,0.005577420586292403,0.06113825872435973,0.24398546479486727,0.772135631955433,0.8178246274183416,0.8593034248367435,86.50004249233267,86.50004249233267,86.50004249233267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,17,86.49855153028496,19962.444643581024,9718.929871108607,0.013071895424836555,0.09938594672234229,0.22549019607843135,0.005577420586292403,0.06113825872435973,0.24398546479486727,0.772135631955433,0.8178246274183416,0.8593034248367435,86.49855153028496,86.49855153028496,86.49855153028496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,18,86.49679301163513,19935.183067025053,9710.58260460535,0.013071895424836555,0.09938594672234229,0.22549019607843135,0.005577420586292403,0.06113825872435973,0.24398546479486727,0.772135631955433,0.8178246274183416,0.8593034248367435,86.49679301163513,86.49679301163513,86.49679301163513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,19,86.49476696206358,19879.357071070473,9701.918247723752,0.013071895424836555,0.09938594672234229,0.22549019607843135,0.005577420586292403,0.06113825872435973,0.24398546479486727,0.772135631955433,0.8178246274183416,0.8593034248367435,86.49476696206358,86.49476696206358,86.49476696206358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,20,86.49229935093484,19947.930465974496,9692.900685391129,0.013071895424836555,0.09938594672234229,0.22549019607843135,0.005577420586292403,0.06113825872435973,0.24398546479486727,0.772135631955433,0.8178246274183416,0.8593034248367435,86.49229935093484,86.49229935093484,86.49229935093484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,21,86.48991239241813,19984.470406740857,9737.38773122334,0.013071895424836555,0.09935446504021815,0.22549019607843135,0.005577420586292403,0.0610714787610901,0.24398546479486727,0.772135631955433,0.8179630175240821,0.8593034248367435,86.48991239241813,86.48991239241813,86.48991239241813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,22,86.52948071910544,19923.090707486743,9729.098973412008,0.013071895424836555,0.09935446504021815,0.22549019607843135,0.005577420586292403,0.0610714787610901,0.24398546479486727,0.772135631955433,0.8179630175240821,0.8593034248367435,86.52948071910544,86.52948071910544,86.52948071910544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,23,86.48421810282275,19851.99732440913,9720.443226851283,0.013071895424836555,0.09935446504021815,0.22549019607843135,0.005577420586292403,0.0610714787610901,0.24398546479486727,0.772135631955433,0.8179630175240821,0.8593034248367435,86.48421810282275,86.48421810282275,86.48421810282275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,24,86.52306923396719,19778.094705672844,9711.477824117595,0.013071895424836555,0.09935446504021815,0.22549019607843135,0.005577420586292403,0.0610714787610901,0.24398546479486727,0.772135631955433,0.8179630175240821,0.8593034248367435,86.52306923396719,86.52306923396719,86.52306923396719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,25,86.47752944843467,19704.048248680345,9702.20035633256,0.013071895424836555,0.09935446504021815,0.22549019607843135,0.005577420586292403,0.0610714787610901,0.24398546479486727,0.772135631955433,0.8179630175240821,0.8593034248367435,86.47752944843467,86.47752944843467,86.47752944843467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,26,86.51562821743842,19628.51105789875,9692.725758852184,0.013071895424836555,0.09935446504021815,0.22549019607843135,0.005577420586292403,0.0610714787610901,0.24398546479486727,0.772135631955433,0.8179630175240821,0.8593034248367435,86.51562821743842,86.51562821743842,86.51562821743842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,27,86.51167843491982,19555.556514360043,9682.749293506044,0.013071895424836555,0.09935446504021815,0.22549019607843135,0.005577420586292403,0.0610714787610901,0.24398546479486727,0.772135631955433,0.8179630175240821,0.8593034248367435,86.51167843491982,86.51167843491982,86.51167843491982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,28,86.50749012139863,19482.46068369985,9672.098025424493,0.013071895424836555,0.09935446504021815,0.22549019607843135,0.005577420586292403,0.0610714787610901,0.24398546479486727,0.772135631955433,0.8179630175240821,0.8593034248367435,86.50749012139863,86.50749012139863,86.50749012139863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,29,86.50271292965012,19474.8858216415,9661.152559414732,0.013071895424836555,0.09935446504021815,0.22549019607843135,0.005577420586292403,0.0610714787610901,0.24398546479486727,0.772135631955433,0.8179630175240821,0.8593034248367435,86.50271292965012,86.50271292965012,86.50271292965012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,30,87.31438407170978,19467.970324218906,9649.85793501824,0.013071895424836555,0.09935446504021815,0.22549019607843135,0.005577420586292403,0.0610714787610901,0.24398546479486727,0.772135631955433,0.8179630175240821,0.8593034248367435,87.31438407170978,87.31438407170978,87.31438407170978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,31,86.49616453361685,19459.780363260932,9638.023597100026,0.013071895424836555,0.09935446504021815,0.22549019607843135,0.005577420586292403,0.0610714787610901,0.24398546479486727,0.772135631955433,0.8179630175240821,0.8593034248367435,86.49616453361685,86.49616453361685,86.49616453361685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,32,86.49426443597191,19550.68011565981,9625.832384688372,0.013071895424836555,0.09935446504021815,0.22549019607843135,0.005577420586292403,0.0610714787610901,0.24398546479486727,0.772135631955433,0.8179630175240821,0.8593034248367435,86.49426443597191,86.49426443597191,86.49426443597191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,33,86.5616629754958,19651.292622494628,9613.303846959057,0.013071895424836555,0.09935446504021815,0.22549019607843135,0.005577420586292403,0.0610714787610901,0.24398546479486727,0.772135631955433,0.8179630175240821,0.8593034248367435,86.5616629754958,86.5616629754958,86.5616629754958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,34,86.55962061496983,19760.061465688046,9645.746004372215,0.013071895424836555,0.09952051208936266,0.22549019607843135,0.005577420586292403,0.061482096267808296,0.24398546479486727,0.7730532626321172,0.8181123317251662,0.8593034248367435,86.55962061496983,86.55962061496983,86.55962061496983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,35,86.55754178812153,19861.36223717798,9634.499503048319,0.013071895424836555,0.09952051208936266,0.22549019607843135,0.005577420586292403,0.061482096267808296,0.24398546479486727,0.7730532626321172,0.8181123317251662,0.8593034248367435,86.55754178812153,86.55754178812153,86.55754178812153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,36,86.5554264986562,19924.477912047136,9623.01610457554,0.013071895424836555,0.09952051208936266,0.22549019607843135,0.005577420586292403,0.061482096267808296,0.24398546479486727,0.7730532626321172,0.8181123317251662,0.8593034248367435,86.5554264986562,86.5554264986562,86.5554264986562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,37,86.6511973973257,19874.93120877353,9611.138122454095,0.013071895424836555,0.09952051208936266,0.22549019607843135,0.005577420586292403,0.061482096267808296,0.24398546479486727,0.7730532626321172,0.8181123317251662,0.8593034248367435,86.6511973973257,86.6511973973257,86.6511973973257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,38,85.81245496812676,19775.595360046256,9598.945683384738,0.013071895424836555,0.09952051208936266,0.22549019607843135,0.005577420586292403,0.061482096267808296,0.24398546479486727,0.7730532626321172,0.8181123317251662,0.8593034248367435,85.81245496812676,85.81245496812676,85.81245496812676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,39,86.64664374175223,19817.16273415262,9586.457664394486,0.013071895424836555,0.09952051208936266,0.22549019607843135,0.005577420586292403,0.061482096267808296,0.24398546479486727,0.7730532626321172,0.8181123317251662,0.8593034248367435,86.64664374175223,86.64664374175223,86.64664374175223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,40,86.64478008211078,19916.81932354919,9573.594179588852,0.013071895424836555,0.09952051208936266,0.22549019607843135,0.005577420586292403,0.061482096267808296,0.24398546479486727,0.7730532626321172,0.8181123317251662,0.8593034248367435,86.64478008211078,86.64478008211078,86.64478008211078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,41,86.63359622564028,19987.628648139467,9585.611251089034,0.013071895424836555,0.0995768808768477,0.22549019607843135,0.005577420586292403,0.06179267820432485,0.24398546479486727,0.7730532626321172,0.8179537916391401,0.8593034248367435,86.63359622564028,86.63359622564028,86.63359622564028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,42,85.89749245342617,19982.71001413348,9575.92197650743,0.013071895424836555,0.0995768808768477,0.22549019607843135,0.005577420586292403,0.06179267820432485,0.24398546479486727,0.7730532626321172,0.8179537916391401,0.8593034248367435,85.89749245342617,85.89749245342617,85.89749245342617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,43,85.8845904835525,19973.82834964228,9565.98470703356,0.013071895424836555,0.0995768808768477,0.22549019607843135,0.005577420586292403,0.06179267820432485,0.24398546479486727,0.7730532626321172,0.8179537916391401,0.8593034248367435,85.8845904835525,85.8845904835525,85.8845904835525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,44,85.87088598286496,19900.38503543749,9555.644686626494,0.013071895424836555,0.0995768808768477,0.22549019607843135,0.005577420586292403,0.06179267820432485,0.24398546479486727,0.7730532626321172,0.8179537916391401,0.8593034248367435,85.87088598286496,85.87088598286496,85.87088598286496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,45,86.70432726124808,19825.895832027178,9544.036409177183,0.013071895424836555,0.0995768808768477,0.22549019607843135,0.005577420586292403,0.06179267820432485,0.24398546479486727,0.7730532626321172,0.8179537916391401,0.8593034248367435,86.70432726124808,86.70432726124808,86.70432726124808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,46,86.68865071468845,19751.41500543932,9532.457038144172,0.013071895424836555,0.0995768808768477,0.22549019607843135,0.005577420586292403,0.06179267820432485,0.24398546479486727,0.7730532626321172,0.8179537916391401,0.8593034248367435,86.68865071468845,86.68865071468845,86.68865071468845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,47,86.67215389978263,19677.159546821644,9520.607135070277,0.013071895424836555,0.0995768808768477,0.22549019607843135,0.005577420586292403,0.06179267820432485,0.24398546479486727,0.7730532626321172,0.8179537916391401,0.8593034248367435,86.67215389978263,86.67215389978263,86.67215389978263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,48,86.65483741173021,19686.406348813478,9555.509270155291,0.013071895424836555,0.09943829223886376,0.22549019607843135,0.005577420586292403,0.06204874422511984,0.24398546479486727,0.7730532626321172,0.8182008758043852,0.8593034248367435,86.65483741173021,86.65483741173021,86.65483741173021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,49,86.63670187557442,19705.001512161798,9543.053943711744,0.013071895424836555,0.09943829223886376,0.22549019607843135,0.005577420586292403,0.06204874422511984,0.24398546479486727,0.7730532626321172,0.8182008758043852,0.8593034248367435,86.63670187557442,86.63670187557442,86.63670187557442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,50,86.6177479462185,19710.060791050273,9530.358665154325,0.013071895424836555,0.09943829223886376,0.22549019607843135,0.005577420586292403,0.06204874422511984,0.24398546479486727,0.7730532626321172,0.8182008758043852,0.8593034248367435,86.6177479462185,86.6177479462185,86.6177479462185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,51,86.7621622523409,19701.393363502793,9491.654683713126,0.013071895424836555,0.09923456585008561,0.22549019607843135,0.005577420586292403,0.06184599810320011,0.24398546479486727,0.7730532626321172,0.8182724604094641,0.8593034248367435,86.7621622523409,86.7621622523409,86.7621622523409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,52,85.89839307619648,19675.65443825645,9478.543044019887,0.013071895424836555,0.09923456585008561,0.22549019607843135,0.005577420586292403,0.06184599810320011,0.24398546479486727,0.7730532626321172,0.8182724604094641,0.8593034248367435,85.89839307619648,85.89839307619648,85.89839307619648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,53,86.75151818585887,19633.020152901416,9465.282497744754,0.013071895424836555,0.09923456585008561,0.22549019607843135,0.005577420586292403,0.06184599810320011,0.24398546479486727,0.7730532626321172,0.8182724604094641,0.8593034248367435,86.75151818585887,86.75151818585887,86.75151818585887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,54,86.92227753252301,19583.753190039166,9441.290431705536,0.020000000000000018,0.09964663827393111,0.22549019607843135,0.00896219758205441,0.062238508178184875,0.24398546479486727,0.7730532626321172,0.8176318004707872,0.8587205186888003,86.92227753252301,86.92227753252301,86.92227753252301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,55,86.91663790206024,19527.906184956544,9430.092364216098,0.020000000000000018,0.09964663827393111,0.22549019607843135,0.00896219758205441,0.062238508178184875,0.24398546479486727,0.7730532626321172,0.8176318004707872,0.8587205186888003,86.91663790206024,86.91663790206024,86.91663790206024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,56,87.1146180953061,19534.05755876844,9368.800156539124,0.020000000000000018,0.09950955344014725,0.22549019607843135,0.00896219758205441,0.06252069608519915,0.24398546479486727,0.7730532626321172,0.8181750977447286,0.8587205186888003,87.1146180953061,87.1146180953061,87.1146180953061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,57,87.10868179326609,19539.702665499524,9355.294118437298,0.020000000000000018,0.09950955344014725,0.22549019607843135,0.00896219758205441,0.06252069608519915,0.24398546479486727,0.7730532626321172,0.8181750977447286,0.8587205186888003,87.10868179326609,87.10868179326609,87.10868179326609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,58,86.43959280314934,19544.624645190263,9341.511940385675,0.020000000000000018,0.09950955344014725,0.22549019607843135,0.00896219758205441,0.06252069608519915,0.24398546479486727,0.7730532626321172,0.8181750977447286,0.8587205186888003,86.43959280314934,86.43959280314934,86.43959280314934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,59,87.32638295354067,19549.079073606426,9327.34464189744,0.020000000000000018,0.09950955344014725,0.22549019607843135,0.00896219758205441,0.06252069608519915,0.24398546479486727,0.7730532626321172,0.8181750977447286,0.8587205186888003,87.32638295354067,87.32638295354067,87.32638295354067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,60,86.67287965097002,19551.278308728106,9312.921252367241,0.020000000000000018,0.09950955344014725,0.22549019607843135,0.00896219758205441,0.06252069608519915,0.24398546479486727,0.7730532626321172,0.8181750977447286,0.8587205186888003,86.67287965097002,86.67287965097002,86.67287965097002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,61,86.66860050841863,19552.949815777894,9298.330869267547,0.020000000000000018,0.09950955344014725,0.22549019607843135,0.00896219758205441,0.06252069608519915,0.24398546479486727,0.7730532626321172,0.8181750977447286,0.8587205186888003,86.66860050841863,86.66860050841863,86.66860050841863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,62,86.66429331042063,19617.25502502241,9283.68796665562,0.020000000000000018,0.09950955344014725,0.22549019607843135,0.00896219758205441,0.06252069608519915,0.24398546479486727,0.7730532626321172,0.8181750977447286,0.8587205186888003,86.66429331042063,86.66429331042063,86.66429331042063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,63,86.65995806119074,19689.688392374534,9268.85409155611,0.020000000000000018,0.09950955344014725,0.22549019607843135,0.00896219758205441,0.06252069608519915,0.24398546479486727,0.7730532626321172,0.8181750977447286,0.8587205186888003,86.65995806119074,86.65995806119074,86.65995806119074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,64,86.65559476497167,19751.552487494526,9255.106646679142,0.020000000000000018,0.09950955344014725,0.22549019607843135,0.00896219758205441,0.06252069608519915,0.24398546479486727,0.7730532626321172,0.8181750977447286,0.8587205186888003,86.65559476497167,86.65559476497167,86.65559476497167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,65,86.92586306112736,19809.569241497476,9241.355902905098,0.020000000000000018,0.09950955344014725,0.22549019607843135,0.00896219758205441,0.06252069608519915,0.24398546479486727,0.7730532626321172,0.8181750977447286,0.8587205186888003,86.92586306112736,86.92586306112736,86.92586306112736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,66,86.00999930492455,19861.11485518875,9227.440918169621,0.020000000000000018,0.09950955344014725,0.22549019607843135,0.00896219758205441,0.06252069608519915,0.24398546479486727,0.7730532626321172,0.8181750977447286,0.8587205186888003,86.00999930492455,86.00999930492455,86.00999930492455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,67,86.91675305733376,19895.717676441458,9213.352723732629,0.020000000000000018,0.09950955344014725,0.22549019607843135,0.00896219758205441,0.06252069608519915,0.24398546479486727,0.7730532626321172,0.8181750977447286,0.8587205186888003,86.91675305733376,86.91675305733376,86.91675305733376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,68,170.00012724577553,19890.53238306058,9491.209525164992,0.020000000000000018,0.09939420695637373,0.22549019607843135,0.00896219758205441,0.06232481365537324,0.21701779914199837,0.7788663121828676,0.8181156252266218,0.8587205186888003,170.00012724577553,170.00012724577553,170.00012724577553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,69,170.5361951067426,19841.518727465835,9476.97970145242,0.020000000000000018,0.09939420695637373,0.22549019607843135,0.00896219758205441,0.06232481365537324,0.21701779914199837,0.7788663121828676,0.8181156252266218,0.8587205186888003,170.5361951067426,170.5361951067426,170.5361951067426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,70,170.16631500682547,19777.102916377826,9461.601267365255,0.020000000000000018,0.09939420695637373,0.22549019607843135,0.00896219758205441,0.06232481365537324,0.21701779914199837,0.7788663121828676,0.8181156252266218,0.8587205186888003,170.16631500682547,170.16631500682547,170.16631500682547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,71,170.43091138962322,19739.934533566255,9446.006365141875,0.020000000000000018,0.09939420695637373,0.22549019607843135,0.00896219758205441,0.06232481365537324,0.21701779914199837,0.7788663121828676,0.8181156252266218,0.8587205186888003,170.43091138962322,170.43091138962322,170.43091138962322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,72,170.4851929897184,19711.37803602725,9430.030896847298,0.020000000000000018,0.09939420695637373,0.22549019607843135,0.00896219758205441,0.06232481365537324,0.21701779914199837,0.7788663121828676,0.8181156252266218,0.8587205186888003,170.4851929897184,170.4851929897184,170.4851929897184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,73,170.09646766200342,19788.88800717882,9413.648621144566,0.020000000000000018,0.09939420695637373,0.22549019607843135,0.00896219758205441,0.06232481365537324,0.21701779914199837,0.7788663121828676,0.8181156252266218,0.8587205186888003,170.09646766200342,170.09646766200342,170.09646766200342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,74,169.94431183632994,19858.172050735062,9396.990654453703,0.020000000000000018,0.09939420695637373,0.22549019607843135,0.00896219758205441,0.06232481365537324,0.21701779914199837,0.7788663121828676,0.8181156252266218,0.8587205186888003,169.94431183632994,169.94431183632994,169.94431183632994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,75,170.21675537700864,19901.933914654397,9380.13258270025,0.020000000000000018,0.09939420695637373,0.22549019607843135,0.00896219758205441,0.06232481365537324,0.21701779914199837,0.7788663121828676,0.8181156252266218,0.8587205186888003,170.21675537700864,170.21675537700864,170.21675537700864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,76,171.08064095364483,19877.655811836026,9361.531835512,0.020000000000000018,0.09939420695637373,0.22549019607843135,0.00896219758205441,0.06232481365537324,0.21701779914199837,0.7788663121828676,0.8181156252266218,0.8587205186888003,171.08064095364483,171.08064095364483,171.08064095364483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,77,170.54009095753827,19794.881407531102,9339.80540887813,0.020000000000000018,0.09939420695637373,0.22549019607843135,0.00896219758205441,0.06232481365537324,0.21701779914199837,0.7788663121828676,0.8181156252266218,0.8587205186888003,170.54009095753827,170.54009095753827,170.54009095753827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
